$Tacheo; Xlocal (m); Ylocal (m); Zlocal (m); Hz (rad); V (rad); di (m); False T_GNSS (s)
OR
$GNSS; lat (degrees); lon (degrees); alt_ellips (m); True T_GNSS (s); Xmn95; Ymn95; H RAN95 
$Tacheo;993.3976;1990.0189;2999.6060;3.726001;1.603710;11.9745;44008.348
$Tacheo;993.3976;1990.0189;2999.6060;3.726000;1.603710;11.9745;44008.455
$GNSS;46.78013477;6.66114187;498.296;44008.500;2540625.057;1181290.946;448.527
$Tacheo;993.3977;1990.0190;2999.6059;3.726002;1.603714;11.9744;44008.542
$Tacheo;993.3976;1990.0189;2999.6059;3.726003;1.603712;11.9745;44008.649
$Tacheo;993.3976;1990.0188;2999.6059;3.725997;1.603712;11.9745;44008.754
$Tacheo;993.3977;1990.0189;2999.6059;3.725995;1.603716;11.9744;44008.859
$Tacheo;993.3977;1990.0189;2999.6059;3.725997;1.603717;11.9744;44008.957
$GNSS;46.78013478;6.66114189;498.293;44009.000;2540625.058;1181290.947;448.524
$Tacheo;993.3977;1990.0188;2999.6059;3.725997;1.603717;11.9745;44009.051
$Tacheo;993.3976;1990.0189;2999.6059;3.725998;1.603715;11.9745;44009.157
$Tacheo;993.3977;1990.0190;2999.6059;3.726000;1.603714;11.9743;44009.263
$Tacheo;993.3977;1990.0190;2999.6059;3.726002;1.603716;11.9744;44009.372
$Tacheo;993.3977;1990.0189;2999.6059;3.725997;1.603717;11.9744;44009.478
$GNSS;46.78013477;6.66114187;498.296;44009.500;2540625.057;1181290.946;448.527
$Tacheo;993.3976;1990.0189;2999.6059;3.726002;1.603717;11.9745;44009.556
$Tacheo;993.3977;1990.0189;2999.6059;3.725997;1.603717;11.9744;44009.661
$Tacheo;993.3977;1990.0190;2999.6059;3.726002;1.603717;11.9743;44009.754
$Tacheo;993.3977;1990.0189;2999.6059;3.725993;1.603714;11.9744;44009.861
$Tacheo;993.3978;1990.0191;2999.6059;3.725997;1.603721;11.9742;44009.970
$GNSS;46.78013479;6.66114188;498.299;44010.000;2540625.057;1181290.948;448.530
$Tacheo;993.3976;1990.0189;2999.6059;3.726000;1.603715;11.9745;44010.036
$Tacheo;993.3977;1990.0188;2999.6059;3.725997;1.603714;11.9745;44010.130
$Tacheo;993.3976;1990.0189;2999.6059;3.725998;1.603712;11.9745;44010.222
$Tacheo;993.3975;1990.0188;2999.6061;3.726002;1.603702;11.9746;44010.328
$Tacheo;993.3977;1990.0190;2999.6062;3.726002;1.603693;11.9743;44010.435
$GNSS;46.78013479;6.66114188;498.296;44010.500;2540625.057;1181290.948;448.527
$Tacheo;993.3977;1990.0191;2999.6063;3.726004;1.603683;11.9742;44010.548
$Tacheo;993.3977;1990.0191;2999.6064;3.726007;1.603676;11.9742;44010.651
$Tacheo;993.3980;1990.0190;2999.6066;3.725979;1.603655;11.9742;44010.741
$Tacheo;993.3985;1990.0191;2999.6071;3.725946;1.603617;11.9738;44010.848
$Tacheo;993.3996;1990.0208;2999.6098;3.725952;1.603396;11.9717;44010.954
$GNSS;46.78013481;6.66114187;498.288;44011.000;2540625.057;1181290.950;448.519
$Tacheo;993.4010;1990.0265;2999.6193;3.726116;1.602618;11.9658;44011.048
$Tacheo;993.4042;1990.0417;2999.6624;3.726592;1.599051;11.9501;44011.151
$Tacheo;993.4075;1990.0566;2999.7069;3.727055;1.595363;11.9347;44011.243
$Tacheo;993.4122;1990.0802;2999.7778;3.727816;1.589451;11.9109;44011.337
$Tacheo;993.4152;1990.0937;2999.8244;3.728243;1.585559;11.8972;44011.443
$GNSS;46.78013515;6.66114096;498.382;44011.500;2540624.987;1181290.989;448.613
$Tacheo;993.4188;1990.1060;2999.8724;3.728558;1.581537;11.8844;44011.555
$Tacheo;993.4267;1990.1205;2999.9637;3.728682;1.573855;11.8673;44011.660
$Tacheo;993.4287;1990.1219;2999.9866;3.728605;1.571929;11.8650;44011.757
$Tacheo;993.4359;1990.1225;3000.0658;3.728131;1.565244;11.8607;44011.863
$Tacheo;993.4413;1990.1199;3000.1239;3.727628;1.560350;11.8603;44011.959
$GNSS;46.78013591;6.66114082;498.731;44012.000;2540624.978;1181291.073;448.962
$Tacheo;993.4485;1990.1147;3000.2018;3.726879;1.553781;11.8617;44012.055
$Tacheo;993.4553;1990.1089;3000.2950;3.726131;1.545931;11.8648;44012.162
$Tacheo;993.4755;1990.0959;3000.5244;3.724104;1.526609;11.8724;44012.265
$Tacheo;993.4802;1990.0933;3000.5882;3.723657;1.521238;11.8750;44012.364
$Tacheo;993.4964;1990.0857;3000.7878;3.722165;1.504453;11.8840;44012.472
$GNSS;46.78013340;6.66114292;499.162;44012.500;2540625.135;1181290.793;449.393
$Tacheo;993.5050;1990.0814;3000.9198;3.721357;1.493369;11.8924;44012.550
$Tacheo;993.5203;1990.0714;3001.1111;3.719809;1.477352;11.9087;44012.655
$Tacheo;993.5217;1990.0685;3001.2334;3.719584;1.467153;11.9224;44012.748
$Tacheo;993.5340;1990.0547;3001.4081;3.718079;1.452649;11.9466;44012.855
$Tacheo;993.5418;1990.0435;3001.5214;3.717016;1.443291;11.9655;44012.964
$GNSS;46.78013480;6.66114297;500.192;44013.000;2540625.141;1181290.948;450.423
$Tacheo;993.5401;1990.0369;3001.6337;3.716834;1.434070;11.9867;44013.054
$Tacheo;993.5473;1990.0186;3001.7975;3.715484;1.420703;12.0215;44013.162
$Tacheo;993.5538;1990.0050;3001.9018;3.714402;1.412233;12.0453;44013.267
$Tacheo;993.5618;1989.9896;3002.0067;3.713136;1.403768;12.0708;44013.371
$Tacheo;993.5786;1989.9613;3002.1548;3.710665;1.391910;12.1108;44013.478
$GNSS;46.78013573;6.66114367;501.045;44013.500;2540625.195;1181291.051;451.276
$Tacheo;993.5850;1989.9504;3002.2017;3.709725;1.388190;12.1249;44013.547
$Tacheo;993.6103;1989.9139;3002.3321;3.706292;1.377906;12.1662;44013.652
$Tacheo;993.6273;1989.8905;3002.4096;3.704041;1.371828;12.1918;44013.758
$Tacheo;993.6445;1989.8672;3002.4868;3.701791;1.365809;12.2176;44013.863
$Tacheo;993.6706;1989.8339;3002.5938;3.698461;1.357498;12.2539;44013.965
$GNSS;46.78013588;6.66114613;501.472;44014.000;2540625.383;1181291.066;451.703
$Tacheo;993.6876;1989.8137;3002.6630;3.696367;1.352130;12.2767;44014.044
$Tacheo;993.7137;1989.7844;3002.7646;3.693228;1.344272;12.3101;44014.150
$Tacheo;993.7498;1989.7516;3002.8481;3.689238;1.337844;12.3380;44014.258
$Tacheo;993.7702;1989.7334;3002.8971;3.686997;1.334074;12.3542;44014.366
$Tacheo;993.7834;1989.7188;3002.9870;3.685431;1.327124;12.3811;44014.471
$GNSS;46.78013621;6.66114805;501.804;44014.500;2540625.530;1181291.101;452.035
$Tacheo;993.7918;1989.7114;3003.0254;3.684512;1.324151;12.3924;44014.540
$Tacheo;993.8077;1989.6945;3003.1109;3.682653;1.317603;12.4196;44014.647
$Tacheo;993.8199;1989.6750;3003.2043;3.680949;1.310549;12.4534;44014.751
$Tacheo;993.8227;1989.6314;3003.3393;3.678892;1.300873;12.5235;44014.859
$Tacheo;993.8122;1989.5896;3003.4241;3.677872;1.295253;12.5861;44014.964
$GNSS;46.78013523;6.66114991;502.129;44015.000;2540625.671;1181290.991;452.360
$Tacheo;993.7726;1989.4985;3003.5341;3.676850;1.289036;12.7111;44015.051
$Tacheo;993.7294;1989.4167;3003.6007;3.676477;1.286047;12.8185;44015.159
$Tacheo;993.6343;1989.2517;3003.7000;3.676292;1.282837;13.0292;44015.267
$Tacheo;993.5100;1989.0476;3003.7952;3.676527;1.281075;13.2854;44015.372
$Tacheo;993.4072;1988.8862;3003.8555;3.677004;1.280842;13.4859;44015.480
$GNSS;46.78012959;6.66114934;502.552;44015.500;2540625.621;1181290.364;452.783
$Tacheo;993.2888;1988.7087;3003.9156;3.677863;1.281087;13.7073;44015.556
$Tacheo;993.0742;1988.3910;3004.0209;3.679502;1.281683;14.1042;44015.662
$Tacheo;992.8203;1988.0308;3004.1331;3.681896;1.282900;14.5575;44015.768
$Tacheo;992.6314;1987.7652;3004.2073;3.683673;1.284317;14.8902;44015.875
$Tacheo;992.4284;1987.4862;3004.2794;3.685725;1.286158;15.2404;44015.980
$GNSS;46.78011435;6.66115832;503.043;44016.000;2540626.290;1181288.663;453.274
$Tacheo;992.0936;1987.0429;3004.3865;3.689478;1.289471;15.8010;44016.058
$Tacheo;991.8385;1986.7221;3004.4662;3.692731;1.291718;16.2140;44016.165
$Tacheo;991.5680;1986.3995;3004.5509;3.696573;1.293722;16.6379;44016.271
$Tacheo;991.1273;1985.9011;3004.6853;3.703293;1.296622;17.3059;44016.377
$Tacheo;990.8121;1985.5639;3004.7735;3.708386;1.298752;17.7664;44016.482
$GNSS;46.78009047;6.66116575;503.408;44016.500;2540626.831;1181286.003;453.639
$Tacheo;990.4819;1985.2174;3004.8614;3.713647;1.301035;18.2427;44016.551
$Tacheo;989.9643;1984.6879;3004.9739;3.721761;1.305520;18.9727;44016.654
$Tacheo;989.5986;1984.3227;3005.0321;3.727377;1.309446;19.4766;44016.744
$Tacheo;989.2193;1983.9441;3005.0864;3.732897;1.313614;19.9985;44016.836
$Tacheo;988.8248;1983.5534;3005.1382;3.738418;1.317920;20.5386;44016.943
$Tacheo;988.4170;1983.1581;3005.1862;3.744046;1.322317;21.0896;44017.049
$GNSS;46.78006064;6.66116799;504.023;44017.000;2540626.969;1181282.685;454.254
$Tacheo;988.0207;1982.7662;3005.2357;3.749023;1.326328;21.6329;44017.045
$Tacheo;987.6117;1982.3661;3005.2824;3.754012;1.330417;22.1899;44017.137
$Tacheo;987.2002;1981.9653;3005.3249;3.758819;1.334514;22.7488;44017.244
$Tacheo;986.5798;1981.3535;3005.3994;3.765428;1.339959;23.6013;44017.350
$Tacheo;985.9327;1980.7171;3005.4885;3.771859;1.344781;24.4933;44017.454
$GNSS;46.78002757;6.66117203;504.305;44017.500;2540627.241;1181279.006;454.536
$Tacheo;985.4940;1980.2878;3005.5471;3.776000;1.347913;25.0968;44017.547
$Tacheo;985.2808;1980.0794;3005.5739;3.777946;1.349445;25.3897;44017.638
$Tacheo;984.6196;1979.4307;3005.6498;3.783644;1.354267;26.2995;44017.729
$Tacheo;984.1820;1979.0056;3005.6970;3.787293;1.357369;26.8984;44017.837
$Tacheo;983.5105;1978.3579;3005.7742;3.792677;1.361677;27.8159;44017.943
$GNSS;46.77999323;6.66117695;504.498;44018.000;2540627.579;1181275.185;454.729
$Tacheo;983.0605;1977.9191;3005.8242;3.795983;1.364495;28.4348;44018.052
$Tacheo;982.6126;1977.4834;3005.8637;3.799153;1.367527;29.0485;44018.159
$Tacheo;981.7127;1976.6029;3005.9359;3.805017;1.373506;30.2854;44018.270
$Tacheo;981.2424;1976.1413;3005.9695;3.807861;1.376584;30.9329;44018.376
$Tacheo;980.5553;1975.4581;3006.0220;3.811625;1.380791;31.8873;44018.481
$Tacheo;979.8213;1974.8362;3006.0671;3.817487;1.384872;32.8230;44018.670
$Tacheo;978.9778;1973.8638;3006.1225;3.818971;1.390249;34.0980;44018.772
$Tacheo;978.5361;1973.4124;3006.1497;3.820764;1.392731;34.7214;44018.867
$Tacheo;977.8924;1972.7552;3006.1967;3.823271;1.395985;35.6313;44018.974
$GNSS;46.77992433;6.66118546;504.983;44019.000;2540628.153;1181267.519;455.214
$Tacheo;977.6273;1972.5493;3006.2202;3.825422;1.396922;35.9575;44019.049
$Tacheo;977.0385;1971.8666;3006.2786;3.826112;1.399593;36.8554;44019.148
$Tacheo;976.4133;1971.2163;3006.3344;3.828079;1.402193;37.7511;44019.259
$Tacheo;975.9921;1970.7773;3006.3654;3.829336;1.404052;38.3544;44019.363
$Tacheo;975.5783;1970.3382;3006.3664;3.830403;1.406592;38.9483;44019.471
$GNSS;46.77989193;6.66119070;505.147;44019.500;2540628.517;1181263.914;455.378
$Tacheo;975.1939;1969.9404;3006.3928;3.831529;1.408215;39.4968;44019.544
$Tacheo;974.8292;1969.5718;3006.4386;3.832712;1.409173;40.0139;44019.634
$Tacheo;974.3434;1969.0874;3006.5004;3.834344;1.410376;40.6980;44019.729
$Tacheo;974.0346;1968.7866;3006.5386;3.835464;1.411123;41.1273;44019.834
$Tacheo;973.7399;1968.5057;3006.5764;3.836610;1.411774;41.5326;44019.940
$Tacheo;973.3338;1968.1318;3006.6286;3.838353;1.412609;42.0814;44020.046
$GNSS;46.77986533;6.66119460;505.220;44020.000;2540628.786;1181260.954;455.452
$Tacheo;973.2106;1968.0219;3006.6424;3.838927;1.412894;42.2449;44020.048
$Tacheo;972.9755;1967.8171;3006.6591;3.840086;1.413646;42.5517;44020.156
$Tacheo;972.6663;1967.5554;3006.6815;3.841701;1.414585;42.9496;44020.261
$Tacheo;972.4953;1967.4271;3006.6933;3.842829;1.415066;43.1572;44020.368
$Tacheo;972.2004;1967.2244;3006.7352;3.845029;1.415346;43.5048;44020.472
$GNSS;46.77985194;6.66119370;505.405;44020.500;2540628.702;1181259.466;455.637
$Tacheo;972.1419;1967.1858;3006.7429;3.845486;1.415411;43.5725;44020.545
$Tacheo;971.9909;1967.1426;3006.7598;3.847505;1.415492;43.7043;44020.637
$Tacheo;971.9299;1967.0709;3006.7714;3.847501;1.415561;43.7991;44020.729
$Tacheo;971.8216;1967.0199;3006.7882;3.848640;1.415568;43.9095;44020.834
$Tacheo;971.7898;1967.0090;3006.7950;3.849033;1.415517;43.9391;44020.931
$GNSS;46.77984907;6.66119012;505.593;44021.000;2540628.426;1181259.150;455.825
$Tacheo;971.7399;1966.9909;3006.8042;3.849634;1.415472;43.9862;44021.051
$Tacheo;971.6767;1966.9775;3006.8101;3.850539;1.415521;44.0378;44021.157
$Tacheo;971.6283;1966.9719;3006.8087;3.851299;1.415678;44.0729;44021.262
$Tacheo;971.6177;1966.9705;3006.8088;3.851463;1.415703;44.0808;44021.359
