$Tacheo; Xlocal (m); Ylocal (m); Zlocal (m); Hz (rad); V (rad); di (m); False T_GNSS (s)
$Tacheo;1003.1573;1988.4857;2999.5979;2.873960;1.604459;11.9469;44601.378
$Tacheo;1003.1574;1988.4856;2999.5979;2.873962;1.604459;11.9470;44601.478
$GNSS;46.78013470;6.66113991;498.264;44601.500;2540624.907;1181290.939;448.495
$Tacheo;1003.1574;1988.4856;2999.5980;2.873956;1.604457;11.9470;44601.549
$Tacheo;1003.1573;1988.4857;2999.5979;2.873963;1.604460;11.9469;44601.671
$Tacheo;1003.1574;1988.4855;2999.5980;2.873960;1.604457;11.9471;44601.777
$Tacheo;1003.1574;1988.4857;2999.5980;2.873956;1.604457;11.9469;44601.883
$Tacheo;1003.1574;1988.4856;2999.5979;2.873958;1.604462;11.9470;44601.991
$GNSS;46.78013466;6.66113992;498.267;44602.000;2540624.908;1181290.935;448.498
$Tacheo;1003.1573;1988.4857;2999.5979;2.873963;1.604460;11.9469;44602.043
$Tacheo;1003.1574;1988.4857;2999.5980;2.873955;1.604457;11.9469;44602.138
$Tacheo;1003.1573;1988.4857;2999.5979;2.873960;1.604458;11.9469;44602.259
$Tacheo;1003.1574;1988.4857;2999.5979;2.873956;1.604465;11.9469;44602.365
$Tacheo;1003.1574;1988.4856;2999.5980;2.873956;1.604457;11.9470;44602.472
$GNSS;46.78013468;6.66113994;498.270;44602.500;2540624.909;1181290.937;448.501
$Tacheo;1003.1574;1988.4856;2999.5980;2.873960;1.604453;11.9470;44602.545
$Tacheo;1003.1574;1988.4857;2999.5980;2.873957;1.604456;11.9469;44602.650
$Tacheo;1003.1574;1988.4856;2999.5979;2.873959;1.604459;11.9470;44602.746
$Tacheo;1003.1574;1988.4857;2999.5980;2.873955;1.604457;11.9469;44602.850
$Tacheo;1003.1573;1988.4857;2999.5980;2.873963;1.604457;11.9469;44602.944
$GNSS;46.78013467;6.66113992;498.269;44603.000;2540624.908;1181290.936;448.500
$Tacheo;1003.1574;1988.4856;2999.5980;2.873957;1.604457;11.9470;44603.061
$Tacheo;1003.1574;1988.4856;2999.5980;2.873957;1.604457;11.9470;44603.170
$Tacheo;1003.1574;1988.4856;2999.5980;2.873955;1.604457;11.9470;44603.277
$Tacheo;1003.1573;1988.4855;2999.5980;2.873965;1.604457;11.9471;44603.384
$Tacheo;1003.1575;1988.4856;2999.5980;2.873952;1.604452;11.9470;44603.490
$GNSS;46.78013472;6.66113989;498.270;44603.500;2540624.905;1181290.942;448.501
$Tacheo;1003.1573;1988.4857;2999.5979;2.873965;1.604460;11.9469;44603.554
$Tacheo;1003.1575;1988.4857;2999.5980;2.873949;1.604454;11.9469;44603.660
$Tacheo;1003.1574;1988.4856;2999.5980;2.873956;1.604456;11.9470;44603.764
$Tacheo;1003.1574;1988.4856;2999.5980;2.873960;1.604457;11.9470;44603.871
$Tacheo;1003.1574;1988.4856;2999.5980;2.873960;1.604457;11.9470;44603.978
$GNSS;46.78013471;6.66113990;498.268;44604.000;2540624.906;1181290.941;448.499
$Tacheo;1003.1574;1988.4856;2999.5979;2.873960;1.604459;11.9470;44604.051
$Tacheo;1003.1573;1988.4857;2999.5980;2.873960;1.604456;11.9469;44604.157
$Tacheo;1003.1574;1988.4855;2999.5980;2.873957;1.604454;11.9471;44604.264
$Tacheo;1003.1573;1988.4857;2999.5979;2.873963;1.604458;11.9469;44604.370
$Tacheo;1003.1574;1988.4856;2999.5979;2.873960;1.604458;11.9470;44604.476
$GNSS;46.78013472;6.66113992;498.267;44604.500;2540624.908;1181290.942;448.498
$Tacheo;1003.1573;1988.4857;2999.5980;2.873960;1.604456;11.9469;44604.555
$Tacheo;1003.1573;1988.4857;2999.5980;2.873960;1.604457;11.9469;44604.661
$Tacheo;1003.1573;1988.4856;2999.5980;2.873965;1.604457;11.9470;44604.767
$Tacheo;1003.1574;1988.4857;2999.5979;2.873955;1.604460;11.9469;44604.876
$Tacheo;1003.1574;1988.4857;2999.5980;2.873955;1.604457;11.9469;44604.981
$GNSS;46.78013472;6.66113992;498.270;44605.000;2540624.908;1181290.942;448.501
$Tacheo;1003.1574;1988.4856;2999.5980;2.873960;1.604457;11.9470;44605.055
$Tacheo;1003.1574;1988.4855;2999.5979;2.873960;1.604462;11.9471;44605.161
$Tacheo;1003.1573;1988.4857;2999.5979;2.873965;1.604458;11.9469;44605.266
$Tacheo;1003.1574;1988.4857;2999.5979;2.873956;1.604458;11.9469;44605.370
$Tacheo;1003.1575;1988.4857;2999.5979;2.873950;1.604460;11.9469;44605.470
$GNSS;46.78013468;6.66113990;498.269;44605.500;2540624.906;1181290.937;448.500
$Tacheo;1003.1574;1988.4857;2999.5980;2.873955;1.604457;11.9469;44605.557
$Tacheo;1003.1574;1988.4856;2999.5979;2.873956;1.604461;11.9470;44605.661
$Tacheo;1003.1574;1988.4857;2999.5980;2.873955;1.604457;11.9469;44605.770
$Tacheo;1003.1573;1988.4857;2999.5979;2.873960;1.604462;11.9469;44605.875
$Tacheo;1003.1574;1988.4856;2999.5980;2.873956;1.604455;11.9470;44605.990
$GNSS;46.78013468;6.66113988;498.270;44606.000;2540624.904;1181290.937;448.501
$Tacheo;1003.1574;1988.4856;2999.5980;2.873960;1.604457;11.9470;44606.047
$Tacheo;1003.1574;1988.4856;2999.5980;2.873957;1.604457;11.9470;44606.156
$Tacheo;1003.1574;1988.4856;2999.5979;2.873957;1.604460;11.9470;44606.263
$Tacheo;1003.1575;1988.4856;2999.5979;2.873951;1.604462;11.9470;44606.370
$Tacheo;1003.1574;1988.4857;2999.5979;2.873955;1.604461;11.9469;44606.477
$GNSS;46.78013463;6.66113989;498.268;44606.500;2540624.905;1181290.932;448.499
$Tacheo;1003.1574;1988.4858;2999.5980;2.873955;1.604457;11.9468;44606.556
$Tacheo;1003.1574;1988.4856;2999.5980;2.873956;1.604457;11.9470;44606.662
$Tacheo;1003.1574;1988.4857;2999.5979;2.873957;1.604462;11.9469;44606.766
$Tacheo;1003.1574;1988.4856;2999.5980;2.873955;1.604457;11.9470;44606.872
$Tacheo;1003.1573;1988.4857;2999.5979;2.873962;1.604462;11.9469;44606.979
$GNSS;46.78013461;6.66113989;498.270;44607.000;2540624.905;1181290.929;448.501
$Tacheo;1003.1575;1988.4855;2999.5980;2.873955;1.604457;11.9471;44607.042
$Tacheo;1003.1573;1988.4857;2999.5979;2.873965;1.604462;11.9469;44607.135
$Tacheo;1003.1575;1988.4856;2999.5980;2.873951;1.604455;11.9470;44607.242
$Tacheo;1003.1572;1988.4858;2999.5979;2.873972;1.604459;11.9468;44607.347
$Tacheo;1003.1570;1988.4858;2999.5980;2.873985;1.604457;11.9467;44607.470
$GNSS;46.78013466;6.66113992;498.271;44607.500;2540624.908;1181290.935;448.502
$Tacheo;1003.1569;1988.4859;2999.5980;2.873989;1.604458;11.9466;44607.560
$Tacheo;1003.1566;1988.4860;2999.5980;2.874015;1.604457;11.9464;44607.668
$Tacheo;1003.1563;1988.4863;2999.5980;2.874031;1.604460;11.9460;44607.775
$Tacheo;1003.1558;1988.4866;2999.5980;2.874066;1.604458;11.9456;44607.882
$Tacheo;1003.1543;1988.4870;2999.5984;2.874174;1.604429;11.9448;44607.987
$GNSS;46.78013465;6.66113989;498.268;44608.000;2540624.905;1181290.934;448.499
$Tacheo;1003.1508;1988.4883;2999.5999;2.874430;1.604305;11.9426;44608.051
$Tacheo;1003.1437;1988.4911;2999.6028;2.874939;1.604079;11.9379;44608.157
$Tacheo;1003.1213;1988.5010;2999.6328;2.876535;1.601602;11.9215;44608.263
$Tacheo;1003.1005;1988.5125;2999.6837;2.877971;1.597371;11.9035;44608.369
$Tacheo;1003.0784;1988.5258;2999.7529;2.879479;1.591589;11.8833;44608.471
$GNSS;46.78013460;6.66113956;498.263;44608.500;2540624.880;1181290.929;448.494
$Tacheo;1003.0486;1988.5459;2999.9072;2.881462;1.578623;11.8540;44608.546
$Tacheo;1003.0387;1988.5570;3000.0304;2.882030;1.568225;11.8404;44608.671
$Tacheo;1003.0364;1988.5647;3000.1768;2.882054;1.555858;11.8337;44608.777
$Tacheo;1003.0421;1988.5693;3000.3530;2.881491;1.540958;11.8346;44608.882
$Tacheo;1003.0688;1988.5699;3000.7592;2.879290;1.506735;11.8600;44608.991
$GNSS;46.78013648;6.66113922;498.786;44609.000;2540624.856;1181291.138;449.017
$Tacheo;1003.0769;1988.5680;3000.8711;2.878673;1.497350;11.8716;44609.047
$Tacheo;1003.1034;1988.5591;3001.2316;2.876713;1.467274;11.9189;44609.157
$Tacheo;1003.1219;1988.5493;3001.4666;2.875419;1.447850;11.9597;44609.264
$Tacheo;1003.1411;1988.5347;3001.6850;2.874190;1.429992;12.0074;44609.369
$Tacheo;1003.1610;1988.5182;3001.9010;2.872945;1.412502;12.0605;44609.474
$GNSS;46.78013902;6.66114281;499.621;44609.500;2540625.133;1181291.417;449.852
$Tacheo;1003.1910;1988.4905;3002.1738;2.871138;1.390761;12.1407;44609.554
$Tacheo;1003.2129;1988.4697;3002.3425;2.869836;1.377532;12.1975;44609.660
$Tacheo;1003.2350;1988.4474;3002.4959;2.868561;1.365680;12.2547;44609.765
$Tacheo;1003.2686;1988.4129;3002.7144;2.866649;1.349039;12.3423;44609.873
$Tacheo;1003.3041;1988.3706;3002.9213;2.864772;1.333708;12.4384;44609.977
$GNSS;46.78013381;6.66114171;501.895;44610.000;2540625.043;1181290.839;452.126
$Tacheo;1003.3267;1988.3587;3002.9865;2.863247;1.328956;12.4710;44610.059
$Tacheo;1003.3587;1988.3080;3003.1768;2.861860;1.315358;12.5736;44610.165
$Tacheo;1003.4081;1988.2497;3003.3548;2.859290;1.303165;12.6870;44610.271
$Tacheo;1003.4467;1988.2034;3003.4739;2.857326;1.295315;12.7722;44610.364
$Tacheo;1003.4869;1988.1522;3003.5826;2.855369;1.288459;12.8602;44610.473
$GNSS;46.78013174;6.66114300;502.643;44610.500;2540625.139;1181290.608;452.874
$Tacheo;1003.5299;1988.0956;3003.6861;2.853331;1.282220;12.9532;44610.553
$Tacheo;1003.5794;1988.0717;3003.7347;2.850066;1.279448;13.0026;44610.658
$Tacheo;1003.6471;1987.9246;3003.9204;2.848280;1.269467;13.2102;44610.765
$Tacheo;1003.6953;1987.8943;3003.9655;2.845323;1.267183;13.2647;44610.872
$Tacheo;1003.7774;1987.7163;3004.1252;2.843257;1.260190;13.4981;44610.978
$GNSS;46.78012809;6.66114776;502.960;44611.000;2540625.499;1181290.199;453.191
$Tacheo;1003.8316;1987.6218;3004.1995;2.841403;1.257384;13.6221;44611.041
$Tacheo;1003.8869;1987.5240;3004.2715;2.839575;1.254866;13.7488;44611.147
$Tacheo;1003.9755;1987.3642;3004.3826;2.836777;1.251280;13.9535;44611.250
$Tacheo;1004.0391;1987.2452;3004.4588;2.834911;1.249102;14.1034;44611.361
$Tacheo;1004.1038;1987.1231;3004.5320;2.833073;1.247247;14.2556;44611.465
$GNSS;46.78012198;6.66115238;503.366;44611.500;2540625.845;1181289.516;453.597
$Tacheo;1004.2051;1986.9297;3004.6379;2.830322;1.245037;14.4932;44611.553
$Tacheo;1004.2747;1986.7957;3004.7084;2.828507;1.243733;14.6569;44611.660
$Tacheo;1004.3847;1986.5802;3004.8161;2.825797;1.242044;14.9178;44611.767
$Tacheo;1004.4626;1986.4253;3004.8909;2.823980;1.241021;15.1042;44611.874
$Tacheo;1004.5919;1986.1659;3005.0145;2.821105;1.239458;15.4157;44611.977
$GNSS;46.78011405;6.66115919;503.709;44612.000;2540626.356;1181288.629;453.940
$Tacheo;1004.6473;1986.0865;3005.0542;2.819229;1.238987;15.5164;44612.054
$Tacheo;1004.7588;1985.8241;3005.1699;2.817718;1.237927;15.8229;44612.160
$Tacheo;1004.8428;1985.6481;3005.2448;2.816158;1.237458;16.0303;44612.266
$Tacheo;1004.9718;1985.3718;3005.3579;2.813965;1.236984;16.3538;44612.373
$Tacheo;1005.0585;1985.1818;3005.4337;2.812625;1.236774;16.5749;44612.479
$GNSS;46.78010436;6.66116556;504.134;44612.500;2540626.832;1181287.547;454.365
$Tacheo;1005.1484;1984.9826;3005.5130;2.811321;1.236560;16.8065;44612.560
$Tacheo;1005.2830;1984.6813;3005.6312;2.809494;1.236338;17.1558;44612.668
$Tacheo;1005.3769;1984.4724;3005.7089;2.808233;1.236420;17.3968;44612.773
$Tacheo;1005.4750;1984.2559;3005.7857;2.806921;1.236710;17.6456;44612.880
$Tacheo;1005.6543;1983.9322;3005.8910;2.803225;1.237829;18.0247;44612.986
$GNSS;46.78009265;6.66117348;504.621;44613.000;2540627.424;1181286.239;454.852
$Tacheo;1005.7531;1983.6994;3005.9595;2.802300;1.238799;18.2857;44613.050
$Tacheo;1005.8717;1983.4649;3006.0264;2.800379;1.239970;18.5539;44613.150
$Tacheo;1006.0202;1983.1173;3006.1171;2.799059;1.241910;18.9403;44613.256
$Tacheo;1006.1355;1982.8769;3006.1784;2.797526;1.243349;19.2111;44613.360
$Tacheo;1006.3048;1982.5193;3006.2642;2.795444;1.245666;19.6116;44613.469
$GNSS;46.78008012;6.66118277;505.048;44613.500;2540628.119;1181284.840;455.279
$Tacheo;1006.3626;1982.3958;3006.2933;2.794774;1.246462;19.7496;44613.544
$Tacheo;1006.5840;1981.9304;3006.4084;2.792176;1.249148;20.2727;44613.653
$Tacheo;1006.7028;1981.6804;3006.4693;2.790839;1.250576;20.5534;44613.759
$Tacheo;1006.8211;1981.4316;3006.5240;2.789547;1.252227;20.8311;44613.866
$Tacheo;1007.0023;1981.0486;3006.5953;2.787663;1.255263;21.2543;44613.970
$GNSS;46.78006651;6.66119210;505.384;44614.000;2540628.817;1181283.320;455.615
$Tacheo;1007.1186;1980.8037;3006.6399;2.786481;1.257183;21.5249;44614.038
$Tacheo;1007.1749;1980.6838;3006.6635;2.785941;1.258028;21.6578;44614.131
$Tacheo;1007.4204;1980.1696;3006.7545;2.783531;1.261993;22.2260;44614.242
$Tacheo;1007.5400;1979.9175;3006.7927;2.782427;1.264129;22.5026;44614.347
$Tacheo;1007.7208;1979.5315;3006.8469;2.780889;1.267470;22.9242;44614.454
$GNSS;46.78005278;6.66120224;505.602;44614.500;2540629.576;1181281.786;455.833
$Tacheo;1007.8433;1979.2697;3006.8805;2.779890;1.269800;23.2094;44614.554
$Tacheo;1007.9066;1979.1363;3006.8975;2.779349;1.270971;23.3550;44614.649
$Tacheo;1008.1486;1978.6308;3006.9617;2.777289;1.275306;23.9078;44614.756
$Tacheo;1008.3348;1978.2516;3007.0150;2.775619;1.278245;24.3259;44614.863
$Tacheo;1008.4236;1978.1349;3007.0339;2.773864;1.279167;24.4662;44614.967
$GNSS;46.78003862;6.66121207;505.812;44615.000;2540630.311;1181280.204;456.043
$Tacheo;1008.5907;1977.7454;3007.0914;2.773197;1.281846;24.8885;44615.042
$Tacheo;1008.8061;1977.3713;3007.1578;2.770470;1.284135;25.3165;44615.148
$Tacheo;1008.9466;1977.1277;3007.2064;2.768736;1.285383;25.5969;44615.256
$Tacheo;1009.1388;1976.7483;3007.2828;2.767102;1.287148;26.0248;44615.365
$Tacheo;1009.3330;1976.3543;3007.3624;2.765662;1.288891;26.4673;44615.472
$GNSS;46.78002442;6.66122375;505.985;44615.500;2540631.187;1181278.617;456.216
$Tacheo;1009.4669;1976.1002;3007.4168;2.764448;1.289906;26.7568;44615.550
$Tacheo;1009.6000;1975.8458;3007.4706;2.763291;1.290920;27.0461;44615.656
$Tacheo;1009.7945;1975.4656;3007.5507;2.761763;1.292393;27.4769;44615.761
$Tacheo;1009.9910;1975.0775;3007.6281;2.760327;1.293993;27.9149;44615.869
$Tacheo;1010.1273;1974.8139;3007.6808;2.759280;1.295059;28.2135;44615.965
$GNSS;46.78001071;6.66123437;506.349;44616.000;2540631.983;1181277.085;456.580
$Tacheo;1010.2622;1974.5574;3007.7313;2.758204;1.296108;28.5047;44616.043
$Tacheo;1010.3996;1974.2980;3007.7817;2.757107;1.297174;28.7995;44616.150
$Tacheo;1010.6002;1973.9124;3007.8535;2.755640;1.298810;29.2356;44616.257
$Tacheo;1010.7338;1973.6537;3007.9002;2.754714;1.299922;29.5274;44616.361
$Tacheo;1010.8652;1973.3979;3007.9495;2.753837;1.300901;29.8167;44616.470
$GNSS;46.77999681;6.66124502;506.706;44616.500;2540632.781;1181275.531;456.937
$Tacheo;1010.9388;1973.2554;3007.9796;2.753342;1.301355;29.9787;44616.547
$Tacheo;1011.1582;1972.8747;3008.0678;2.751333;1.302371;30.4220;44616.654
$Tacheo;1011.3982;1972.3530;3008.1974;2.750550;1.303249;31.0097;44616.760
$Tacheo;1011.5238;1972.1040;3008.2617;2.749845;1.303616;31.2949;44616.865
$Tacheo;1011.6533;1971.8485;3008.3257;2.749118;1.304051;31.5873;44616.985
$GNSS;46.77998312;6.66125539;507.022;44617.000;2540633.558;1181274.002;457.254
$Tacheo;1011.7837;1971.5886;3008.3908;2.748434;1.304477;31.8842;44617.048
$Tacheo;1011.9807;1971.1951;3008.4934;2.747432;1.304988;32.3347;44617.154
$Tacheo;1012.1193;1970.9270;3008.5647;2.746639;1.305302;32.6437;44617.261
$Tacheo;1012.2621;1970.6625;3008.6339;2.745694;1.305658;32.9505;44617.365
$Tacheo;1012.4797;1970.2700;3008.7389;2.744163;1.306122;33.4086;44617.473
$GNSS;46.77996965;6.66126577;507.380;44617.500;2540634.336;1181272.496;457.612
$Tacheo;1012.5490;1970.1429;3008.7732;2.743709;1.306260;33.5565;44617.544
$Tacheo;1012.7844;1969.7486;3008.8890;2.741751;1.306468;34.0258;44617.654
$Tacheo;1012.9842;1969.3603;3009.0032;2.740765;1.306572;34.4760;44617.762
$Tacheo;1013.1202;1969.1226;3009.0756;2.739796;1.306603;34.7574;44617.868
$Tacheo;1013.2559;1968.8833;3009.1490;2.738870;1.306619;35.0405;44617.974
$GNSS;46.77995649;6.66127704;507.894;44618.000;2540635.182;1181271.025;458.126
$Tacheo;1013.3311;1968.7583;3009.1867;2.738275;1.306657;35.1898;44618.041
$Tacheo;1013.6117;1968.2832;3009.3319;2.736201;1.306733;35.7559;44618.148
$Tacheo;1013.7584;1968.0417;3009.4111;2.735064;1.306638;36.0467;44618.256
$Tacheo;1013.9590;1967.6716;3009.5321;2.733988;1.306437;36.4831;44618.363
$Tacheo;1014.1067;1967.4208;3009.6211;2.732967;1.306153;36.7851;44618.469
$GNSS;46.77994404;6.66128830;508.316;44618.500;2540636.028;1181269.632;458.548
$Tacheo;1014.2482;1967.1852;3009.7082;2.731955;1.305808;37.0709;44618.545
$Tacheo;1014.4714;1966.8236;3009.8447;2.730277;1.305231;37.5127;44618.654
$Tacheo;1014.6222;1966.5866;3009.9334;2.729086;1.304894;37.8038;44618.759
$Tacheo;1014.7820;1966.3428;3010.0283;2.727762;1.304473;38.1061;44618.864
$Tacheo;1015.0050;1966.0153;3010.1586;2.725811;1.303872;38.5163;44618.970
$GNSS;46.77993140;6.66129925;508.858;44619.000;2540636.850;1181268.219;459.090
$Tacheo;1015.1920;1965.8050;3010.2432;2.723509;1.303591;38.7971;44619.045
$Tacheo;1015.3960;1965.4578;3010.3643;2.722308;1.303306;39.2151;44619.153
$Tacheo;1015.5534;1965.2411;3010.4339;2.720848;1.303362;39.4862;44619.259
$Tacheo;1015.7131;1965.0198;3010.4966;2.719404;1.303616;39.7606;44619.366
$Tacheo;1015.9422;1964.7007;3010.5874;2.717384;1.303966;40.1560;44619.469
$GNSS;46.77992037;6.66131264;509.376;44619.500;2540637.861;1181266.983;459.608
$Tacheo;1016.0285;1964.5914;3010.6199;2.716518;1.304074;40.2949;44619.539
$Tacheo;1016.1917;1964.3651;3010.6852;2.715105;1.304298;40.5759;44619.629
$Tacheo;1016.4219;1964.0518;3010.7678;2.713081;1.304799;40.9648;44619.720
$Tacheo;1016.5655;1963.8362;3010.8175;2.712049;1.305267;41.2247;44619.828
$Tacheo;1016.7068;1963.6211;3010.8633;2.711079;1.305811;41.4823;44619.930
$Tacheo;1016.9159;1963.2836;3010.9375;2.709863;1.306566;41.8820;44620.022
$GNSS;46.77990861;6.66132443;509.746;44620.000;2540638.748;1181265.667;459.978
$Tacheo;1016.9882;1963.1697;3010.9641;2.709418;1.306784;42.0180;44620.048
$Tacheo;1017.1269;1962.9415;3011.0221;2.708674;1.307099;42.2893;44620.141
$Tacheo;1017.3370;1962.6110;3011.0853;2.707410;1.308039;42.6806;44620.247
$Tacheo;1017.5473;1962.2808;3011.1276;2.706163;1.309432;43.0664;44620.354
$Tacheo;1017.6853;1962.0653;3011.1608;2.705346;1.310203;43.3200;44620.460
$GNSS;46.77989667;6.66133463;509.962;44620.500;2540639.514;1181264.332;460.194
$Tacheo;1017.7580;1961.9542;3011.1830;2.704894;1.310490;43.4527;44620.549
$Tacheo;1017.9694;1961.6370;3011.2565;2.703540;1.311081;43.8358;44620.659
$Tacheo;1018.1916;1961.3160;3011.3313;2.702018;1.311684;44.2272;44620.764
$Tacheo;1018.3489;1961.1013;3011.3781;2.700831;1.312171;44.4917;44620.872
$Tacheo;1018.5101;1960.8795;3011.4262;2.699649;1.312671;44.7645;44620.976
$GNSS;46.77988534;6.66134671;510.154;44621.000;2540640.424;1181263.063;460.386
$Tacheo;1018.6637;1960.6755;3011.4679;2.698466;1.313195;45.0170;44621.043
$Tacheo;1018.9026;1960.3431;3011.5309;2.696795;1.314111;45.4226;44621.150
$Tacheo;1019.1395;1960.0133;3011.5912;2.695173;1.315054;45.8246;44621.261
$Tacheo;1019.2949;1959.7861;3011.6342;2.694230;1.315644;46.0987;44621.367
$Tacheo;1019.4389;1959.5779;3011.6758;2.693344;1.316136;46.3511;44621.474
$GNSS;46.77987383;6.66135998;510.415;44621.500;2540641.424;1181261.773;460.647
$Tacheo;1019.5955;1959.3418;3011.7255;2.692484;1.316622;46.6352;44621.548
$Tacheo;1019.8220;1958.9945;3011.7986;2.691315;1.317316;47.0517;44621.656
$Tacheo;1019.9620;1958.7805;3011.8407;2.690596;1.317798;47.3078;44621.760
$Tacheo;1020.1772;1958.4384;3011.9084;2.689632;1.318532;47.7137;44621.866
$Tacheo;1020.3184;1958.2144;3011.9509;2.689003;1.319045;47.9792;44621.973
$GNSS;46.77986150;6.66137086;510.726;44622.000;2540642.242;1181260.394;460.958
$Tacheo;1020.5399;1957.8669;3012.0234;2.687994;1.319701;48.3938;44622.048
$Tacheo;1020.6880;1957.6375;3012.0750;2.687303;1.320058;48.6692;44622.154
$Tacheo;1020.8317;1957.4119;3012.1266;2.686668;1.320383;48.9395;44622.262
$Tacheo;1021.0455;1957.0747;3012.2025;2.685750;1.320886;49.3428;44622.369
$Tacheo;1021.1923;1956.8482;3012.2536;2.685082;1.321225;49.6152;44622.475
$GNSS;46.77984921;6.66138235;510.928;44622.500;2540643.106;1181259.020;461.160
$Tacheo;1021.3304;1956.6351;3012.3031;2.684461;1.321512;49.8718;44622.547
$Tacheo;1021.5374;1956.3150;3012.3708;2.683548;1.322064;50.2554;44622.656
$Tacheo;1021.7578;1955.9700;3012.4413;2.682630;1.322694;50.6672;44622.760
$Tacheo;1021.9108;1955.7421;3012.4831;2.681897;1.323209;50.9413;44622.867
$Tacheo;1022.0583;1955.5212;3012.5247;2.681207;1.323682;51.2069;44622.964
$GNSS;46.77983732;6.66139417;511.293;44623.000;2540643.995;1181257.689;461.525
$Tacheo;1022.2758;1955.1876;3012.5909;2.680275;1.324313;51.6066;44623.051
$Tacheo;1022.4144;1954.9693;3012.6360;2.679740;1.324680;51.8671;44623.160
$Tacheo;1022.6400;1954.6319;3012.7029;2.678722;1.325316;52.2739;44623.266
$Tacheo;1022.7879;1954.4087;3012.7456;2.678081;1.325757;52.5421;44623.371
$Tacheo;1022.9306;1954.1830;3012.7827;2.677559;1.326296;52.8089;44623.478
$GNSS;46.77982547;6.66140584;511.560;44623.500;2540644.873;1181256.363;461.792
$Tacheo;1023.0838;1953.9563;3012.8145;2.676870;1.326952;53.0798;44623.543
$Tacheo;1023.3002;1953.6309;3012.8580;2.675951;1.327913;53.4668;44623.637
$Tacheo;1023.4391;1953.4219;3012.8886;2.675372;1.328477;53.7160;44623.744
$Tacheo;1023.6590;1953.1031;3012.9335;2.674360;1.329373;54.0992;44623.853
$Tacheo;1023.8095;1952.8974;3012.9653;2.673569;1.329911;54.3510;44623.958
$GNSS;46.77981386;6.66141739;511.682;44624.000;2540645.742;1181255.063;461.914
$Tacheo;1023.9590;1952.6938;3012.9997;2.672785;1.330387;54.6013;44624.044
$Tacheo;1024.1873;1952.3961;3013.0490;2.671491;1.331114;54.9712;44624.153
$Tacheo;1024.4196;1952.1053;3013.0969;2.670087;1.331837;55.3367;44624.263
$Tacheo;1024.5779;1951.9244;3013.1314;2.668998;1.332226;55.5714;44624.355
$Tacheo;1024.7294;1951.7514;3013.1682;2.667962;1.332530;55.7968;44624.462
$GNSS;46.77980368;6.66142977;511.897;44624.500;2540646.676;1181253.922;462.129
$Tacheo;1024.9777;1951.4922;3013.2325;2.666080;1.332864;56.1463;44624.554
$Tacheo;1025.1429;1951.3208;3013.2800;2.664831;1.332998;56.3791;44624.653
$Tacheo;1025.3976;1951.0818;3013.3566;2.662715;1.333053;56.7173;44624.757
$Tacheo;1025.5692;1950.9285;3013.4100;2.661240;1.333031;56.9390;44624.865
$Tacheo;1025.8337;1950.7176;3013.4912;2.658776;1.332926;57.2589;44624.969
$GNSS;46.77979566;6.66144419;512.082;44625.000;2540647.769;1181253.020;462.314
$Tacheo;1026.0210;1950.5766;3013.5502;2.656978;1.332797;57.4788;44625.050
$Tacheo;1026.3050;1950.3746;3013.6471;2.654178;1.332437;57.8041;44625.158
$Tacheo;1026.4989;1950.2455;3013.7199;2.652211;1.332053;58.0205;44625.266
$Tacheo;1026.6905;1950.1266;3013.7939;2.650210;1.331611;58.2276;44625.371
$Tacheo;1026.9777;1949.9536;3013.9040;2.647192;1.330950;58.5339;44625.477
$GNSS;46.77978928;6.66145922;512.525;44625.500;2540648.910;1181252.299;462.757
$Tacheo;1027.1736;1949.8427;3013.9774;2.645092;1.330507;58.7365;44625.549
$Tacheo;1027.2748;1949.7896;3014.0147;2.643977;1.330276;58.8376;44625.641
$Tacheo;1027.6808;1949.5884;3014.1612;2.639444;1.329367;59.2331;44625.754
$Tacheo;1027.8889;1949.4937;3014.2302;2.637072;1.328977;59.4276;44625.858
$Tacheo;1028.2044;1949.3624;3014.3296;2.633403;1.328435;59.7115;44625.966
$GNSS;46.77978425;6.66147527;513.026;44626.000;2540650.130;1181251.728;463.258
$Tacheo;1028.4173;1949.2790;3014.3945;2.630901;1.328090;59.8986;44626.062
$Tacheo;1028.7475;1949.1579;3014.4957;2.626982;1.327526;60.1826;44626.170
$Tacheo;1028.9621;1949.0875;3014.5617;2.624385;1.327132;60.3606;44626.277
$Tacheo;1029.1862;1949.0210;3014.6311;2.621628;1.326692;60.5413;44626.383
$Tacheo;1029.6407;1948.8947;3014.7767;2.616014;1.325706;60.9029;44626.490
$GNSS;46.77978094;6.66149287;513.499;44626.500;2540651.470;1181251.347;463.731
$Tacheo;1029.7640;1948.8620;3014.8185;2.614489;1.325401;61.0006;44626.548
$Tacheo;1030.1355;1948.7816;3014.9473;2.609767;1.324380;61.2812;44626.656
$Tacheo;1030.3581;1948.7321;3015.0282;2.606968;1.323722;61.4521;44626.763
$Tacheo;1030.5913;1948.6865;3015.1163;2.603998;1.322965;61.6271;44626.870
$Tacheo;1030.9446;1948.6260;3015.2493;2.599455;1.321806;61.8862;44626.976
$GNSS;46.77977852;6.66151164;513.907;44627.000;2540652.901;1181251.063;464.139
$Tacheo;1031.0621;1948.6056;3015.2917;2.597954;1.321454;61.9724;44627.049
$Tacheo;1031.3038;1948.5735;3015.3744;2.594793;1.320772;62.1409;44627.154
